Reference Product Application Type,Reference Product Application Number,Reference Product Approval Date,Reference Product - Marketed By,Reference Product Applicant Name,Reference Product Brand Name,Active Ingredient,Form,Dosage,TE Code,Approved ANDA Count,Approved ANDA Details,ANDA Holder-Marketed By,TA ANDA Count,TA ANDA Details,Discontinued ANDA Count,Discontinued ANDA Details,OB Patent Count,OB Patent Details,OB First Patent Expiry Date,OB Last Patent Expiry Date,OB Patent Link,OB NCE Status,OB NCE Date,OB Exclusivity Count,OB Exclusivity Details,OB First Exclusivity Expiry Date,OB Last Exclusivity Expiry Date,Orphan Status,DEA Status,DMF Count,DMF Details,Reference Product Label Link,Pharma Class
NDA,793,6/5/1939,(1)MYLAN SPECIALITY LP-Meda Pharmaceuticals(1),MYLAN SPECIALITY LP,BUTISOL SODIUM,BUTABARBITAL SODIUM,TABLET;ORAL, {30MG},,0,None,None,0,None,10,"(1)BUNDY,85550;(2)HALSEY,84719;(3)HIKMA PHARMS,85432;(4)IVAX SUB TEVA PHARMS,84040;(5)LANNETT,85866;(6)SANDOZ,84272;(7)SANDOZ,85934;(8)TEVA,88631;(9)WATSON LABS,85772;(10)WHITEWORTH TOWN PLSN,83337;",0,None,None,None,NA,No,None,0,None,None,None,NO,CIII;,2,(1)CEDARBURG PHARMACEUTICALS(14636)(2)CHATTEM CHEMICALS INC(14438),http://www.accessdata.fda.gov/drugsatfda_docs/label/2007/000793s025lbl.pdf,None
NDA,1546,10/2/1939,(1)MERCK SHARP DOHME-Merck Sharp & Dohme Corp.(1),MERCK SHARP DOHME,GUANIDINE HYDROCHLORIDE,GUANIDINE HYDROCHLORIDE,TABLET;ORAL, {125MG},,0,None,None,0,None,0,None,0,None,None,None,NA,No,None,0,None,None,None,NO,None,0,NA,None,"Acetylcholine Releasing Agent [EPC],Increased Acetylcholine Activity [PE]"
NDA,3444,1/11/1941,(1)US PHARM HOLDINGS-Avera McKennan Hospital;Validus Pharmaceuticals LLC;Winthrop U.S.(3),US PHARM HOLDINGS,DRISDOL,ERGOCALCIFEROL,CAPSULE;ORAL," {50,000IU}",AA,5,"(1)80704,BIONPHARMA INC,10/16/1978;(2)40833,ORIT LABS LLC,5/20/2009;(3)91004,SIGMAPHARM LABS LLC,7/14/2010;(4)90455,STRIDES PHARMA,8/03/2010;(5)40865,SUN PHARM INDS INC,12/29/2009;","(1)BIONPHARMA INC-AvKARE, Inc.;Banner Life Sciences LLC.;Bionpharma Inc.;NuCare Pharmaceuticals, Inc.;NuCare Pharmaceuticals,Inc.;PD-Rx Pharmaceuticals, Inc.;Pliva Inc.;REMEDYREPACK INC.;St. Mary's Medical Park Pharmacy(2)ORIT LABS LLC-Aidarex Pharmaceuticals LLC;American Health Packaging;Aphena Pharma Solutions - Tennessee, LLC;Blenheim Pharmacal, Inc.;Breckenridge Pharmaceutical, Inc.;Bryant Ranch Prepack;Dispensing Solutions, Inc.;Golden State Medical Supply, Inc.;KAISER FOUNDATION HOSPITALS;Lake Erie Medical DBA Quality Care Products LLC;PD-Rx Pharmaceuticals, Inc.;Physicians Total Care, Inc.;St Marys Medical Park Pharmacy(3)SIGMAPHARM LABS LLC-Carilion Materials Management;Proficient Rx LP;ReadyMeds;Rising Pharamceuticals, Inc;SigmaPharm Laboratories, LLC;Unit Dose Services(4)STRIDES PHARMA-Aidarex Pharmaceuticals LLC;Avera McKennan Hospital;Preferred Pharmaceuticals Inc.;Proficient Rx LP;REMEDYREPACK INC.;Strides Shasun Limited(5)SUN PHARM INDS INC-Aphena Pharma Solutions - Tennessee, LLC;Bryant Ranch Prepack;PD-Rx Pharmaceuticals, Inc.;Preferred Pharmaceuticals Inc.;Preferred Pharmaceuticals, Inc.;Sun Pharmaceutical Industries, Inc.",0,None,7,"(1)CHASE CHEM,80747;(2)EVERYLIFE,80956;(3)IMPAX LABS,80951;(4)LANNETT,80825;(5)LILLY,80884;(6)VITARINE,84053;(7)WEST WARD,83102;",0,None,None,None,NA,No,None,0,None,None,None,NO,None,2,(1)FORMOSA LABORATORIES INC(24189)(2)SYNTHESIA AS(11142),None,"Ergocalciferols [Chemical/Ingredient],Provitamin D2 Compound [EPC]"
NDA,4782,5/8/1942,"(1)WYETH PHARMS INC-A-S Medication Solutions;Aphena Pharma Solutions - Tennessee, Inc.;Avera McKennan Hospital;Cardinal Health;Lake Erie Medical DBA Quality Care Products LLC;Physicians Total Care, Inc.;State of Florida DOH Central Pharmacy;Wyeth Pharmaceuticals Inc., a subsidiary of Pfizer Inc.(8)",WYETH PHARMS INC,PREMARIN,"ESTROGENS, CONJUGATED",TABLET;ORAL, {0.3MG}{0.45MG}{1.25MG}{0.625MG}{0.9MG},,1,"(1)21417,WYETH PHARMS INC,7/16/2003;",(1)WYETH PHARMS INC-None,0,None,0,None,0,None,None,None,NA,No,None,0,None,None,None,NO,None,3,(1)PADDOCK LABORATORIES LLC(14046)(2)TEVA PHARMACEUTICALS INDUSTRIES LTD(15915)(3)XINJIANG NUZILINE BIO PHARMACEUTICAL CO LTD(29827),http://www.accessdata.fda.gov/drugsatfda_docs/label/2014/004782s171lbl.pdf,"Estrogen [EPC],Estrogen Receptor Agonists [MoA],Estrogens, Conjugated (USP) [Chemical/Ingredient]"
NDA,5010,11/10/1942,(1)US PHARM HOLDINGS-Bryant Ranch Prepack;sanofi-aventis U.S. LLC;Validus Pharmaceuticals LLC(3),US PHARM HOLDINGS,DEMEROL,MEPERIDINE HYDROCHLORIDE,TABLET;ORAL, {50MG}{100MG},AA,7,"(1)88639,BARR,7/02/1984;(2)40331,EPIC PHARMA,5/28/1999;(3)40352,MALLINCKRODT,6/13/2000;(4)40893,MIKART,6/24/2009;(5)40446,SUN PHARM INDS INC,8/08/2002;(6)40191,VINTAGE PHARMS,12/17/1998;(7)40110,WEST-WARD PHARMS INT,3/12/1997;","(1)BARR-Teva Pharmaceuticals USA, Inc.(2)EPIC PHARMA-Epic Pharma, LLC(3)MALLINCKRODT-None(4)MIKART-Mikart, Inc.(5)SUN PHARM INDS INC-Caraco Pharmaceutical Laboratories, Ltd.(6)VINTAGE PHARMS-Bryant Ranch Prepack;Physicians Total Care, Inc.;Qualitest Pharmaceuticals(7)WEST-WARD PHARMS INT-West-Ward Pharmaceuticals Corp.",0,None,4,"(1)DURAMED PHARMS BARR,40318;(2)SUN PHARM INDUSTRIES,80448;(3)WATSON LABS,40186;(4)WYETH AYERST,80454;",0,None,None,None,NA,No,None,0,None,None,None,NO,CII;,2,(1)AMRI RENSSELAER INC(4525)(2)MALLINCKRODT INC(11345),http://www.accessdata.fda.gov/drugsatfda_docs/label/2017/005010s055lbl.pdf,"Full Opioid Agonists [MoA],Opioid Agonist [EPC]"
NDA,5378,12/31/1943,"(1)RECORDATI RARE-RECORDATI RARE DISEASES, INC.(1)",RECORDATI RARE,DESOXYN,METHAMPHETAMINE HYDROCHLORIDE,TABLET;ORAL, {5MG},AA,2,"(1)91189,MAYNE PHARMA INC,4/21/2010;(2)203846,WEST-WARD PHARMS INT,11/17/2015;",(1)MAYNE PHARMA INC-Mayne Pharma Inc.;Mylan Pharmaceuticals Inc.(2)WEST-WARD PHARMS INT-West-Ward Pharmaceuticals Corp.,0,None,3,"(1)ABLE,40529;(2)REXAR,84931;(3)TEVA,86359;",0,None,None,None,NA,No,None,0,None,None,None,NO,CII;,2,"(1)CHATTEM CHEMICALS INC(16176)(2)NATIONAL INSTITUTES HEALTH NATIONAL INSTITUTE DRUG ABUSE(15159,15465)",http://www.accessdata.fda.gov/drugsatfda_docs/label/2017/005378s034lbl.pdf,"Amphetamine Anorectic [EPC],Amphetamines [Chemical/Ingredient],Appetite Suppression [PE],Central Nervous System Stimulant [EPC],Central Nervous System Stimulation [PE],Increased Sympathetic Activity [PE]"
NDA,5856,1/25/1946,(1)ABBVIE-AbbVie Inc.(1),ABBVIE,TRIDIONE,TRIMETHADIONE,TABLET;ORAL, {150MG},,0,None,None,0,None,0,None,0,None,None,None,NA,No,None,0,None,None,None,NO,None,0,NA,http://www.accessdata.fda.gov/drugsatfda_docs/label/2012/005856s021lbl.pdf,"Anti-epileptic Agent [EPC],Decreased Central Nervous System Disorganized Electrical Activity [PE]"
NDA,5929,4/12/1946,(1)VALEANT-Valeant Pharmaceuticals North America(1),VALEANT,D.H.E. 45,DIHYDROERGOTAMINE MESYLATE,INJECTABLE;INJECTION, {1MG/ML},AP,3,"(1)206621,HIKMA PHARMS,9/15/2017;(2)40475,PADDOCK LLC,4/28/2003;(3)40453,WEST-WARD PHARMS INT,6/09/2003;","(1)HIKMA PHARMS-West-Ward Pharmaceuticals Corp(2)PADDOCK LLC-Paddock Laboratories, LLC(3)WEST-WARD PHARMS INT-None",0,None,0,None,0,None,None,None,NA,No,None,0,None,None,None,NO,None,4,(1)BOEHRINGER INGELHEIM PHARMA GMBH AND CO KG(10242)(2)EUTICALS SPA(22407)(3)OLON SPA(30497)(4)TEVA PHARMACEUTICAL INDUSTRIES LTD(14944),http://www.accessdata.fda.gov/drugsatfda_docs/label/2009/005929s044lbl.pdf,"Ergotamine Derivative [EPC],Ergotamines [Chemical/Ingredient]"
NDA,5939,5/6/1946,"(1)AKORN-Akorn, Inc.(1)",AKORN,BAL,DIMERCAPROL,INJECTABLE;INJECTION, {10%},,0,None,None,0,None,0,None,0,None,None,None,NA,No,None,0,None,None,None,NO,None,0,NA,http://www.accessdata.fda.gov/drugsatfda_docs/label/2007/005939s007lbl.pdf,"Metal Chelating Activity [MoA],Metal Chelator [EPC]"
NDA,6035,11/19/1946,"(1)EDISON THERAPS LLC-Apotheca, Inc.;Bryant Ranch Prepack;Dispensing Solutions, Inc.(3)",EDISON THERAPS LLC,METHERGINE,METHYLERGONOVINE MALEATE,INJECTABLE;INJECTION, {0.2MG/ML},AP,2,"(1)40889,BRECKENRIDGE PHARM,9/13/2010;(2)90193,LUITPOLD,11/24/2008;","(1)BRECKENRIDGE PHARM-Akorn, Inc.;Breckenridge Pharmaceutical, Inc.;Pharmacist Pharmaceutical, LLC(2)LUITPOLD-American Regent, Inc.",0,None,0,None,0,None,None,None,NA,No,None,0,None,None,None,NO,None,1,(1)TEVA PHARMACEUTICAL INDUSTRIES LTD(18988),http://www.accessdata.fda.gov/drugsatfda_docs/label/2012/006035s078lbl.pdf,"Ergolines [Chemical/Ingredient],Ergot Derivative [EPC]"
