Active Ingredient,Product Brand Name,Form,Dosage,TE Code,Product Application Type,Product Application No,Product Applicant Name,Marketing Status,Product Marketer Name
ABACAVIR SULFATE,ABACAVIR SULFATE,TABLET;ORAL,60MG,NULL,NDA,22293,AUROBINDO PHARMA,Tentatively Approved,NULL
ABACAVIR SULFATE,ABACAVIR SULFATE,TABLET;ORAL,60MG,NULL,NDA,22547,CIPLA LIMITED,Tentatively Approved,NULL
ABACAVIR SULFATE,ZIAGEN,SOLUTION;ORAL,20MG/ML,AA,NDA,20978,VIIV HLTHCARE,Prescription,ViiV Healthcare Company
ABACAVIR SULFATE,ZIAGEN,TABLET;ORAL,EQ300MGBASE,AB,NDA,20977,VIIV HLTHCARE,Prescription,State of Florida DOH Central Pharmacy
ABACAVIR SULFATE,ZIAGEN,TABLET;ORAL,EQ300MGBASE,AB,NDA,20977,VIIV HLTHCARE,Prescription,ViiV Healthcare Company
ABACAVIR SULFATE;LAMIVUDINE,ABACAVIR SULFATE; LAMIVUDINE,TABLET;ORAL,60MG;30MG,NULL,NDA,22295,AUROBINDO PHARMA LTD,Tentatively Approved,NULL
ABACAVIR SULFATE;LAMIVUDINE,EPZICOM,TABLET;ORAL,600MG;300MG,AB,NDA,21652,VIIV HLTHCARE,Prescription,A-S Medication Solutions
ABACAVIR SULFATE;LAMIVUDINE,EPZICOM,TABLET;ORAL,600MG;300MG,AB,NDA,21652,VIIV HLTHCARE,Prescription,"Physicians Total Care, Inc."
ABACAVIR SULFATE;LAMIVUDINE,EPZICOM,TABLET;ORAL,600MG;300MG,AB,NDA,21652,VIIV HLTHCARE,Prescription,Prasco Laboratories
ABACAVIR SULFATE;LAMIVUDINE,EPZICOM,TABLET;ORAL,600MG;300MG,AB,NDA,21652,VIIV HLTHCARE,Prescription,REMEDYREPACK INC.
ABACAVIR SULFATE;LAMIVUDINE,EPZICOM,TABLET;ORAL,600MG;300MG,AB,NDA,21652,VIIV HLTHCARE,Prescription,State of Florida DOH Central Pharmacy
ABACAVIR SULFATE;LAMIVUDINE,EPZICOM,TABLET;ORAL,600MG;300MG,AB,NDA,21652,VIIV HLTHCARE,Prescription,ViiV Healthcare Company
