"DMF No",STATUS,"Submission Date","DMF Holder",Molecule
183,A,2/29/1952,"ASHLAND INC","POLYVINYL PYRROLIDONE-IODINE 10"
191,A,1/24/1956,"MALLINCKRODT INC","PARZONE BITARTRATE (DIHYDROCODEINE BITARTRATE)"
240,A,1/11/1957,"ALLERGAN SALES LLC","NORETHINDRONE "
339,A,7/08/1959,"SOLVAY USA INC","IGEPAL® CO-630 SPECIAL USP"
395,A,8/10/1960,"DSM NUTRITIONAL PRODUCTS INC","5% D-METHORPHAN HYDROBROMIDE ADSORBATE POWDER"
453,A,7/13/1965,"FABBRICA ITALIANA SINTETICI SPA","NITROFURANTION & NTROFURANTOIN MACROCRYSTALS"
467,A,2/15/1962,"FIS FABBRICA ITALIANA SINTETICI SPA","CHLORDIAZEPOXIDE HCL"
745,A,12/02/1963,"CAMBREX PROFARMACO MILANO SRL","CHLORIDAZEPOXIDE HYDROCHLORIDE "
863,A,11/23/1964,"ARCH CHEMICALS INC","ZINC OMADINE "
881,A,1/02/1965,"CAMBREX PROFARMACO MILANO SRL",HYDROCHLOROTHIAZIDE
883,A,3/18/1965,"CAMBREX PROFARMACO MILANO SRL",CHLOROTHIAZIDE
1049,A,3/21/1967,"SIEGFRIED USA LLC","PHENOBARBITAL SODIUM USP "
1050,A,3/22/1967,"SIEGFRIED USA LLC","SECOBARBITAL SODIUM USP"
1051,A,3/23/1967,"SIEGFRIED USA LLC","AMOBARBITAL SODIUM USP"
1076,A,8/15/1967,"AJINOMOTO CO INC","AMINO ACID PRODUCTS"
1166,A,4/09/1968,"SIEGFRIED USA LLC","BUTALBITAL USP"
1169,A,4/19/1968,"SIEGFRIED USA LLC","PENTOBARBITOL SODIUM USP"
1241,A,9/30/1968,"FMC LITHIUM SUB FMC CORP","LITHIUM CARBONATE "
1271,A,12/13/1968,"CHATTEM CHEMICALS INC","AMINOACETIC ACID (GLYCINE) AS PREPARED BY CHATTEM CHEMICALS"
1356,A,3/18/1969,"DOW CHEMICAL CO","CARBOWAX POLYETHYLENE GLYCOL"
1412,A,9/02/1969,"PHARMACIA AND UPJOHN CO WHOLLY OWNED SUB PFIZER INC","PREDNISONE,MICRONIZED,STERILIZED AND ACETATE"
1413,A,9/02/1969,"PHARMACIA AND UPJOHN CO WHOLLY OWNED SUB PFIZER INC","HYDROCORTISONE MICRONIZED AND NON-MICRONIZED"
1418,A,9/04/1969,"PHARMACIA AND UPJOHN CO WHOLLY OWNED SUB PFIZER INC","PROGESTERONE MICRONIZED AND CRYSTALS"
1467,A,12/31/1969,"DOW CORNING CORP","DOW CORNING R Q7-2243 LVA, SIMETHICONE USP"
1478,A,2/03/1970,"CAMBREX PROFARMACO MILANO SRL",DIAZEPAM
1516,A,4/23/1970,"SANOFI CHIMIE","CHLORPROMAZINE HYDROCHLORIDE"
1631,A,1/05/1971,"NATIONAL INSTITUTE DRUG ABUSE","MARIJUANA (PRODUCT CODE 1000) "
1748,A,6/21/1971,"SANOFI CHIMIE",DEXAMETHASONE
1817,A,11/21/1971,"PHARMACIA AND UPJOHN SUB PFIZER INC","MEGESTROL ACETATE USP"
1839,A,12/16/1971,"COPPERHEAD INVESTMENTS INC","SDM-17 (10% NITROGLYCERIN IN LACTOSE)"
1862,A,1/25/1972,"MALLINCKRODT INC","NALOXONE HCL USP DIHYDRATE"
1869,A,12/05/1971,"TEVA PHARMACEUTICAL INDUSTRIES LTD","PROBENECID USP"
1906,A,3/08/1972,"TEVA PHARMACEUTICAL INDUSTRIES LTD","IMIPRAMINE HYDROCHLORIDE USP"
1949,A,6/09/1972,"SANOFI CHIMIE","PROMETHAZINE HCL"
1985,A,8/16/1972,"BAYER PHARMA AG","ETHINYL ESTRADIOL "
2030,A,12/18/1972,"DR REDDYS LABORATORIES LTD",NAPROXEN
2033,A,12/22/1972,"BAYER PHARMA AG","NORETHINDRONE ACETATE"
2063,A,1/15/1973,"PALL CORP","FILTER CARTRIDGE"
2098,A,4/27/1973,"PHARMACIA AND UPJOHN CO WHOLLY OWNED SUB PFIZER INC","DOXORUBICIN HYDROCHLORIDE"
2115,A,6/14/1973,"TEVA PHARMACEUTICAL INDUSTRIES LTD",HYDROCHLOROTHIAZIDE
2140,A,8/07/1973,"OLON SPA","PHENDIMETRAZINE TARTRATE"
2199,A,12/07/1973,"SIEGFRIED LTD",PRIMIDONE
2239,A,3/01/1974,"CAMBREX CHARLES CITY INC","SULFASALAZINE USP"
2248,A,3/21/1974,"CAMBREX PROFARMACO MILANO SRL","BISACODYL "
2303,A,7/11/1974,"OLON SPA","DICYCLOMINE HYDROCHLORIDE "
2314,A,8/08/1974,"BOEHRINGER INGELHEIM CHEMICALS INC","AMPHETAMINE BULK AND DEXTRO DESOXYEPHEDRINE"
2368,A,12/10/1974,"TRIFARMA SPA","PROCHLORPERAZINE MALEATE"
2418,A,2/24/1975,"PHARMACIA AND UPJOHN SUB PFIZER INC","GLIPIZIDE, BULK"
2420,A,3/11/1975,"STARKS ASSOC INC","LOMUSTINE (CCNU) BULK"
2421,A,3/14/1975,"SUMITOMO CHEMICAL CO LTD","HYDRALAZINE HYDROCHLORIDE"
2435,A,3/13/1975,"AESICA PHARMACEUTICALS LTD","FLURBIPROFEN AND SODIUM FLUBIPROFEN"
2438,A,4/21/1975,"PRIME EUROPEAN THERAPEUTICALS SPA EUTICALS SPA","CHLORTHALIDONE USP-EP"
2467,A,6/10/1975,"BRISTOL-MYERS SQUIBB CO"," WARFARIN SODIUM USP"
2479,A,6/20/1975,"MALLINCKRODT INC","IOTHALAMIC ACID USP"
2506,A,8/13/1975,"TEVA PHARMACEUTICAL INDUSTRIES LTD",ALLOPURINOL
2516,A,8/28/1975,"NOVUS FINE CHEMICALS LLC","PSEUDOEPHEDRINE HCL, SULFATE, AND BASE BULK POWDER"
2565,A,11/12/1975,"TEVA PHARMACEUTICAL INDUSTRIES LTD","FUROSEMIDE USP "
2598,A,1/28/1976,"OLON SPA","AMITRIPTYLINE HCL"
2614,A,2/17/1976,"PFANSTIEHL INC","STREPTOZOTOCIN (S-119)"
2616,A,2/27/1976,"SCIENTIFIC PROTEIN LABORATORIES LLC","HEPARIN SODIUM USP"
2663,A,5/07/1976,"DOTTIKON EXCLUSIVE SYNTHESIS AG","ISOSORBIDE DINITRATE, DILUTED"
2693,A,6/16/1976,"OLON SPA","BENZHEXOL HCL. (TRIHEXYPHENIDYL HCL.)"
2698,A,6/21/1976,"SIEGFRIED LTD","PROPARACAINE HYDROCHLORIDE "
2700,A,6/25/1976,"B BRAUN MEDICAL INC","STERILIZATION OF LARGE VOL PARENTERAL SOL"
2712,A,8/03/1976,"PFIZER INC","HEPARIN SODIUM USP"
2716,A,8/10/1976,"SMITHKLINE BEECHAM CORP DBA GLAXOSMITHKLINE","CIMETIDINE AND CIMETIDINE HCL"
2719,A,8/09/1976,"TEVA PHARMACEUTICAL INDUSTRIES LTD","AMITRIPTYLINE HCL USP DRUG SUBSTANCE"
2726,A,8/05/1976,"BAYER PHARMA AG",NORETHINDRONE
2736,A,7/19/1976,"SANOFI CHIMIE","DEXAMETHASONE ACETATE ANHYDROUS USP "
2738,A,8/02/1976,"OLON SPA","DIETHYLPROPION HCL"
